"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강서구청",서울특별시 강서구 우장산로114,서울특별시 강서구 화곡6동 1103-6,차량방범,1,200,360도전방면,30,2015-01,02-2600-1884,37.553146,126.848720,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡6동 980-16,차량방범,1,200,360도전방면,30,2015-01,02-2600-1884,37.551150,126.849770,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡본동98-99,차량방범,1,200,360도전방면,30,2015-01,02-2600-1884,37.541805,126.844320,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 가로공원로지하189,서울특별시 강서구 화곡1동 662-15,차량방범,1,200,360도전방면,30,2015-01,02-2600-1884,37.537450,126.839120,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 양천로47가길 39-24,서울특별시 강서구 가양1동 239-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1884,37.572000,126.839610,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 양천로47가길 40,서울특별시 강서구 가양1동 251-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1884,37.571150,126.840034,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 강서로76길 26,서울특별시 강서구 가양1동 146-11,생활방범,2,200,360도전방면,30,2012-04,02-2600-1884,37.569275,126.842740,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 강서로76길7,서울특별시 강서구 가양1동151-11,생활방범,1,130,360도전방면,30,2013-12,02-2600-1884,37.569320,126.842230,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,1,130,360도전방면,30,2013-12,02-2600-1884,37.572647,126.842720,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,2,200,360도전방면,30,2013-12,02-2600-1884,37.573273,126.844635,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 허준로23,서울특별시 강서구 가양1동1460,생활방범,1,130,360도전방면,30,2013-12,02-2600-1884,37.572200,126.846535,2019-03-01
"서울특별시 강서구청",서울특별시 강서구 양천로 47가길 25-18,서울특별시 강서구 가양1동 246-1,생활방범,2,200,360도전방면,30,2015-09,02-2600-1884,37.571747,126.838930,2019-03-01
