"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 양천구청",서울특별시 양천구 목동동로 293,서울특별시 양천구 목1동 917-9,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.5281527,126.8757457,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 오목로 319,서울특별시 양천구 목1동 406-35,생활방범,4,200,360도 전방,30,2006-12,02-2620-4793,37.525030,126.8730535,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동로210,서울특별시 양천구 목1동 목동 810-1,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.5273464,126.8644590,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동동로 12길 53,서울특별시 양천구 목동 404-61,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.5224026142,126.877315406,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동서로 77,서울특별시 양천구 목동 907,생활방범,4,200,360도 전방,30,2006-12,02-2620-4793,37.5359255,126.8779791,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동동로 419,서울특별시 양천구 목동 909-9,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.5367089,126.8831552,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙로 129,서울특별시 양천구 목동 199-66,생활방범,4,200,360도 전방,30,2006-12,02-2620-4793,37.5399385,126.8747427,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙본로18길 39,서울특별시 양천구 목2동 231-98,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.5411255,126.8711899,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙북로16길 33,서울특별시 양천구 목동 536,생활방범,4,200,360도 전방,30,2006-12,02-2620-4793,37.5445805,126.8739702,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙남로16가길 16-17,서울특별시 양천구 목3동 324-188,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.543582,126.8638575,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙남로9길 38,서울특별시 양천구 목4동 725-3,생활방범,5,200,360도 전방,30,2006-12,02-2620-4793,37.537908,126.8644242,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙로5길 49,서울특별시 양천구 목4동 760-1,생활방범,4,200,360도 전방,30,2006-12,02-2620-4793,37.5381804,126.8695314,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙본로15길 20,서울특별시 양천구 목2동 315-33,생활방범,3,200,360도 전방,30,2008-12,02-2620-4793,37.5415654,126.8679153,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙본로22길 63-1,서울특별시 양천구 목2동 231-145,생활방범,3,200,360도 전방,30,2009-12,02-2620-4793,37.541224,126.8726386,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙본로32길 39,서울특별시 양천구 목2동 527-19,생활방범,3,200,360도 전방,30,2009-12,02-2620-4793,37.5453673,126.8733292,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동동로 379,서울특별시 양천구 목5동 907-17,생활방범,3,200,360도 전방,30,2009-12,02-2620-4793,37.5355702,126.8787085,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙남로16다길 1,서울특별시 양천구 목3동 318-31,생활방범,3,200,360도 전방,30,2009-12,02-2620-4793,37.543178,126.8654740,2019-02-19
"서울특별시 양천구청",서울특별시 양천구 목동중앙남로13길 7-12,서울특별시 양천구 목동 720-11,생활방범,3,200,360도 전방,30,2009-12,02-2620-4793,37.5397579,126.8650052,2019-02-19
